Purple Book Monthly Historical Data Changes Report - October 2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Newly Approved Products (N)  / Products Added in Current Release (R) / Updated Products (U),,,,,,,,,,,,,,,,,,,,,,,,
N/R/U,Applicant,BLA Number,Proprietary Name,Proper Name,BLA Type,Strength,Dosage Form,Route of Administration,Product Presentation,Marketing Status,Licensure,Approval Date,Ref. Product Proper Name,Ref. Product Proprietary Name,Supplement Number,Submission Type,License Number,Product Number,Center,Date of First Licensure,Exclusivity Expiration Date,First Interchangeable Exclusivity Exp. Date,Ref. Product Exclusivity Exp. Date,Orphan Exclusivity Exp. Date
U,Wyeth Pharmaceuticals LLC,125324,Prevnar 13,Pneumococcal 13-valent Conjugate Vaccine (Diphtheria CRM197 Protein),351(a),0.5ML,Injection,Intramuscular,Pre-Filled Syringe,Disc,Licensed,"February 24, 2010", ,,0,Original,0003,001,CBER,,,,,
N,Octapharma Pharmazeutika Produktionsges.m.b.H.,125776,Balfaxar,"Prothrombin complex concentrate, human-lans",351(a),1000IU,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed,"July 21, 2023", , ,0,Original,1646,002,CBER,,,,,
N,Sandoz Inc.,125553,Zarxio,filgrastim-sndz,351(k) Biosimilar,300MCG/0.5ML,Injection ,"Intravenous, Subcutaneous ",Single-Dose Vial,Disc,Licensed,"August 09, 2024",filgrastim,Neupogen,32,Supplement,2003,003,CDER,,,,,
N,Sandoz Inc.,125553,Zarxio,filgrastim-sndz,351(k) Biosimilar,480MCG/0.8ML,Injection ,"Intravenous, Subcutaneous ",Single-Dose Vial,Disc,Licensed,"August 09, 2024",filgrastim,Neupogen,32,Supplement,2003,004,CDER,,,,,
U,Ferring Pharmaceuticals Inc.,021289,Bravelle,urofollitropin,351(a),75IU ,For Injection,"Subcutaneous, Intramuscular",Single-Dose Vial,Disc,Voluntarily Revoked,"May 06, 2002",,,,Original,2112,001,CDER,,,,,
U,Hong Kong King-Friend Industrial Company Limited,761216,Yusimry,adalimumab-aqvh,351(k) Biosimilar,40MG/0.8ML,Injection ,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,"December 17, 2021",adalimumab,Humira,,Original,2375,001,CDER,,,,,
U,Hong Kong King-Friend Industrial Company Limited,761216,Yusimry,adalimumab-aqvh,351(k) Biosimilar,40MG/0.8ML,Injection ,Subcutaneous,Autoinjector,Rx,Licensed,"February 27, 2023",adalimumab,Humira,1,Supplement,2375,002,CDER,,,,,
N,Alvotech USA Inc.,761343,Selarsdi,ustekinumab-aekn,351(k) Biosimilar,130MG/26ML (5MG/ML),Injection ,Intravenous,Single-Dose Vial,Rx,Licensed,"October 18, 2024",ustekinumab,Stelara,2,Supplement,2225,003,CDER,,,,,
N,"Fresenius Kabi USA, LLC",761379,Otulfi,ustekinumab-aauz,351(k) Biosimilar,45MG/0.5ML,Injection ,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,"September 27, 2024",ustekinumab,Stelara,,Original,2146,001,CDER,,,,,
